'2016-12-01 08:00:00','2016-12-01 12:30:00',1
'2016-12-02 08:00:00','2016-12-02 12:30:00',1
'2016-12-03 08:00:00','2016-12-03 12:30:00',1
'2016-12-04 08:00:00','2016-12-04 12:30:00',1
'2016-12-05 08:00:00','2016-12-05 12:30:00',1
'2016-12-06 08:00:00','2016-12-06 12:30:00',1
'2016-12-07 08:00:00','2016-12-07 12:30:00',1
'2016-12-08 08:00:00','2016-12-08 12:30:00',1
'2016-12-09 08:00:00','2016-12-09 12:30:00',1
'2016-12-10 08:00:00','2016-12-10 12:30:00',1
'2016-12-11 08:00:00','2016-12-11 12:30:00',1
'2016-12-12 08:00:00','2016-12-12 12:30:00',1
'2016-12-13 08:00:00','2016-12-13 12:30:00',1
'2016-12-14 08:00:00','2016-12-14 12:30:00',1
'2016-12-15 08:00:00','2016-12-15 12:30:00',1
'2016-12-16 08:00:00','2016-12-16 12:30:00',1
'2016-12-17 08:00:00','2016-12-17 12:30:00',1
'2016-12-18 08:00:00','2016-12-18 12:30:00',1
'2016-12-19 08:00:00','2016-12-19 12:30:00',1
'2016-12-20 08:00:00','2016-12-20 12:30:00',1
'2016-12-21 08:00:00','2016-12-21 12:30:00',1
'2016-12-22 08:00:00','2016-12-22 12:30:00',1
'2016-12-23 08:00:00','2016-12-23 12:30:00',1
'2016-12-24 08:00:00','2016-12-24 12:30:00',1
'2016-12-25 08:00:00','2016-12-25 12:30:00',1
'2016-12-26 08:00:00','2016-12-26 12:30:00',1
'2016-12-27 08:00:00','2016-12-27 12:30:00',1
'2016-12-28 08:00:00','2016-12-28 12:30:00',1
'2016-12-29 08:00:00','2016-12-29 12:30:00',1
'2016-12-30 08:00:00','2016-12-30 12:30:00',1
'2016-12-31 08:00:00','2016-12-31 12:30:00',1
'2017-01-01 08:00:00','2017-01-01 12:30:00',1
'2017-01-02 08:00:00','2017-01-02 12:30:00',1
'2017-01-03 08:00:00','2017-01-03 12:30:00',1
'2017-01-04 08:00:00','2017-01-04 12:30:00',1
'2017-01-05 08:00:00','2017-01-05 12:30:00',1
'2017-01-06 08:00:00','2017-01-06 12:30:00',1
'2017-01-07 08:00:00','2017-01-07 12:30:00',1
'2017-01-08 08:00:00','2017-01-08 12:30:00',1
'2017-01-09 08:00:00','2017-01-09 12:30:00',1
'2017-01-10 08:00:00','2017-01-10 12:30:00',1
'2017-01-11 08:00:00','2017-01-11 12:30:00',1
'2017-01-12 08:00:00','2017-01-12 12:30:00',1
'2017-01-13 08:00:00','2017-01-13 12:30:00',1
'2017-01-14 08:00:00','2017-01-14 12:30:00',1
'2017-01-15 08:00:00','2017-01-15 12:30:00',1
'2017-01-16 08:00:00','2017-01-16 12:30:00',1
'2017-01-17 08:00:00','2017-01-17 12:30:00',1
'2017-01-18 08:00:00','2017-01-18 12:30:00',1
'2017-01-19 08:00:00','2017-01-19 12:30:00',1
'2017-01-20 08:00:00','2017-01-20 12:30:00',1
'2017-01-21 08:00:00','2017-01-21 12:30:00',1
'2017-01-22 08:00:00','2017-01-22 12:30:00',1
'2017-01-23 08:00:00','2017-01-23 12:30:00',1
'2017-01-24 08:00:00','2017-01-24 12:30:00',1
'2017-01-25 08:00:00','2017-01-25 12:30:00',1
'2017-01-26 08:00:00','2017-01-26 12:30:00',1
'2017-01-27 08:00:00','2017-01-27 12:30:00',1
'2017-01-28 08:00:00','2017-01-28 12:30:00',1
'2017-01-29 08:00:00','2017-01-29 12:30:00',1
'2017-01-30 08:00:00','2017-01-30 12:30:00',1
'2017-01-31 08:00:00','2017-01-31 12:30:00',1
'2017-02-01 08:00:00','2017-02-01 12:30:00',1
'2017-02-02 08:00:00','2017-02-02 12:30:00',1
'2017-02-03 08:00:00','2017-02-03 12:30:00',1
'2017-02-04 08:00:00','2017-02-04 12:30:00',1
'2017-02-05 08:00:00','2017-02-05 12:30:00',1
'2017-02-06 08:00:00','2017-02-06 12:30:00',1
'2017-02-07 08:00:00','2017-02-07 12:30:00',1
'2017-02-08 08:00:00','2017-02-08 12:30:00',1
'2017-02-09 08:00:00','2017-02-09 12:30:00',1
'2017-02-10 08:00:00','2017-02-10 12:30:00',1
'2017-02-11 08:00:00','2017-02-11 12:30:00',1
'2017-02-12 08:00:00','2017-02-12 12:30:00',1
'2017-02-13 08:00:00','2017-02-13 12:30:00',1
'2017-02-14 08:00:00','2017-02-14 12:30:00',1
'2017-02-15 08:00:00','2017-02-15 12:30:00',1
'2017-02-16 08:00:00','2017-02-16 12:30:00',1
'2017-02-17 08:00:00','2017-02-17 12:30:00',1
'2017-02-18 08:00:00','2017-02-18 12:30:00',1
'2017-02-19 08:00:00','2017-02-19 12:30:00',1
'2017-02-20 08:00:00','2017-02-20 12:30:00',1
'2017-02-21 08:00:00','2017-02-21 12:30:00',1
'2017-02-22 08:00:00','2017-02-22 12:30:00',1
'2017-02-23 08:00:00','2017-02-23 12:30:00',1
'2017-02-24 08:00:00','2017-02-24 12:30:00',1
